EJE,PONDERADOR EJE,NOMBRE DE SECTOR,SECTOR MGA,PROGRAMA MGA,"COD,.INT. PROGRAMA",PROGRAMA PDT,PONDERADOR PROGRAMA,COD SUBPROGRAMA,"COD. INT, SUBPROGRAMA",SUBPROGRAMA,PONDERADOR SUBPROGRAMA,COD. INT. MR,META DE RESULTADO,INDICADOR DE RESULTADO,L.B,PRODUCTO MGA,BPIN,NOMBRE DEL PROYECTO,COD META PRODUCTO,PONDERADOR META DE PRODUCTO,META DE PRODUCTO,L.B,UNIDAD DE MEDIDA,TENDENCIA  INDICADOR,INDICADOR,RESPONSABLE, ,VALOR ESPERADO CUATRIENIO,% TOTAL  EJEJCUTADO 2024 VS CUATRIENIO,% TOTAL EJECUTADO 2025 VS CUATRIENIO,% TOTAL EJECUTADO 2026 VS CUATRIENIO,% TOTAL EJECUTADO 2027 VS CUATRIENIO,PORCENTAJE TOTAL PDM AVANCE CUATRIENIO,VALOR ESPERADO 2024,VALOR ESPERADO 2025,VALOR ESPERADO 2026,VALOR ESPERADO 2027,T1. PLANEADO 2024,T1. EJECUTADO 2024,T2. PLANEADO 2024,T2. EJECUTADO 2024,T3. PLANEADO 2024,T3. EJECUTADO 2024,T4. PLANEADO 2024,T.4 EJECUTADO 2024,TOTAL PLANEADO 2024,TOTAL EJECUTADO 2024,AVANCE 2024,% TOTAL PLANEADO 2024,% TOTAL AVANCE 2024,ESTADO PROGRAMADO-NO PROGRAMADO 2024, SOPORTES DE CUMPLIMIENTO 2024,T1. PLANEADO 2025,T1. EJECUTADO 2025,T2. PLANEADO 2025,T2. EJECUTADO 2025,T3. PLANEADO 2025,T3. EJECUTADO 2025,T4. PLANEADO 2025,T.4 EJECUTADO 2025,TOTAL PLANEADO 2025,TOTAL EJECUTADO 2025,AVANCE 2025,% TOTAL PLANEADO 2025,% TOTAL AVANCE 2025,ESTADO PROGRAMADO-NO PROGRAMADO 2025, SOPORTES DE CUMPLIMIENTO 2025,T1. PLANEADO 2026,T1. EJECUTADO 2026,T2. PLANEADO 2026,T2. EJECUTADO 2026,T3. PLANEADO 2026,T3. EJECUTADO 2026,T4. PLANEADO 2026,T.4 EJECUTADO 2026,TOTAL PLANEADO 2026,TOTAL EJECUTADO 2026,% AVANCE 2026,% TOTAL PLANEADO 2026,% TOTAL AVANCE 2026,ESTADO PROGRAMADO-NO PROGRAMADO, SOPORTES DE CUMPLIMIENTO 2025,T1. PLANEADO 2027,T1. EJECUTADO 2027,T2. PLANEADO 2027,T2. EJECUTADO 2027,T3. PLANEADO 2027,T3. EJECUTADO 2027,T4. PLANEADO 2027,T.4 EJECUTADO 2024,TOTAL PLANEADO 2027,TOTAL EJECUTADO 2027,% AVANCE 2027,% TOTAL PLANEADO 2025,% TOTAL AVANCE 2025,ESTADO PROGRAMADO-NO PROGRAMADO, SOPORTES DE CUMPLIMIENTO 2025,PPTO DEFINITIVO INICIAL,VALOR EJECUTADO,SALDO DISPONIBLE,PROCENTAJE EJECUCIÓN PPTO,Recursos Propios,Ssistema General de Participaciones,Sistema General de Regalias,Cofinanciación,Crédito,Otros,APROPIACION DEFINITIVA 2025,COMPROMISOS 2025,APROPIACION 2024,COMPROMISOS 2024,TOTAL ASIGNADO,TOTAL COMPROMISOS,% EJECUCIÓN FINANCIERA,APROPIACION INICIAL 2025,APROPIACION DEFINITIVA 2025,COMPROMISOS 2025,PAGOS 2025,% EJECUCION 2025,2024 PLAN FINANCIERO PDM,2025 PLAN FINANCIERO PDM,2026 PLAN FINANCIERO PDM,2027 PLAN FINANCIERO PDM,TOTALES PLAN FINANCIERO PDM,PLAN DE ACCIÓN,APROPIACION INICIAL 2026,APROPIACION DEFINITIVA 2026,COMPROMISOS 2026,PAGOS 2026,% EJECUCION 2026,VALOR EJECUTADO 2026,SALDO DISPONIBLE 2026,PROCENTAJE EJECUCIÓN PPTO,Recursos Propios,Ssistema General de Participaciones,Sistema General de Regalias,Cofinanciación,Crédito,Otros
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,24,2402,7,"Es el tiempo del Mejoramiento de vial 

(Infraestrcutura red vial regional)",,0600,7.1,Es tiempo del Mejoramiento y Mantenimiento Vial,,7.1.1,"Incrementar en 5% la construcción, mejoramiento, mantenimiento y optimización de la red vial en el municipio","Porcentaje de construcción, mejoramiento, mantenimiento y optimización de la red vial en el municipio incrementado","125,838 mts lineales

Fuente: Informe emplame 2023",2402113,2024257990007,Mejoramiento de la infraestructura red vial regional inteligente y sostenible del Municipio de Tenjo Cundinamarca,56,,Construir 700 metros lineales de vías urbanas en el municipio de Tenjo,635 mts,Mts,I,Metros de vías urbanas construidas,Sec. Infraestructura y Obra Pública,,700,0%,0%,,,0.1%,0,300,200,200,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,NP,,0,0,0,0,100,60,200,240,300.00,300.00,1.00,100%,100%,P,Meta 56.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$584,868,720.00","$20,000,000.00","$21,166,667.00","$21,166,667.00","$606,035,387.00","$41,166,667.00",7%,"$584,868,720.00","$1,126,106,501.00","$1,126,106,501.00","$20,000,000.00",100.00%,"$2,724,545,117.00",252077237300%,"2,315,363,237","2,728,414,041","10,289,094,768",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,24,2402,7,"Es el tiempo del Mejoramiento de vial 

(Infraestrcutura red vial regional)",,0600,7.1,Es tiempo del Mejoramiento y Mantenimiento Vial,,7.1.1,"Incrementar en 5% la construcción, mejoramiento, mantenimiento y optimización de la red vial en el municipio","Porcentaje de construcción, mejoramiento, mantenimiento y optimización de la red vial en el municipio incrementado","125,838 mts lineales

Fuente: Informe emplame 2023",2402041,2024257990007,Mejoramiento de la infraestructura red vial regional inteligente y sostenible del Municipio de Tenjo Cundinamarca,57,,"Suscribir minímo 1 convenio interadministrativo con entidades e instituciones a nivel local, departamental y/o nacional para el desarrollo de proyectos de infraestructura",1,Número,I,Numero de convenios suscritos,Sec. Infraestructura y Obra Pública,,1,0%,100%,,,35.0%,0,1,1,1,,,,,0,0,0,0,0.00,0.00,0%,0%,0%,NP,,0,0,0,0,0,0,1,1,1.00,1.00,100%,100%,100%,P,Meta 57.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,$0.00,$0.00,,$0.00,350000000000%,"1,500,000,000","2,000,000,000","7,000,000,000",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,24,2402,7,"Es el tiempo del Mejoramiento de vial 

(Infraestrcutura red vial regional)",,0600,7.1,Es tiempo del Mejoramiento y Mantenimiento Vial,,7.1.1,"Incrementar en 5% la construcción, mejoramiento, mantenimiento y optimización de la red vial en el municipio","Porcentaje de construcción, mejoramiento, mantenimiento y optimización de la red vial en el municipio incrementado","125,838 mts lineales

Fuente: Informe emplame 2023",2402056,2024257990007,Mejoramiento de la infraestructura red vial regional inteligente y sostenible del Municipio de Tenjo Cundinamarca,58,,Realizar 3 procesos de intervención en los corredores viales principales,SD,Número,I,Número de corredores viales con procesos de intervención realizados,Sec. Infraestructura y Obra Pública,,3,33%,0%,,,5.0%,1,0,1,1,,,,,0,0,1,1,1.00,1.00,100%,100%,100%,P,META 58.docx,0,,0,,0,,0,,0.00,0.00,0%,0%,0%,NP,Meta 58.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,$0.00,$0.00,,$0.00,0%,0,"7,000,000,000","7,000,000,000",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,24,2402,7,"Es el tiempo del Mejoramiento de vial 

(Infraestrcutura red vial regional)",,0600,7.1,Es tiempo del Mejoramiento y Mantenimiento Vial,,7.1.1,"Incrementar en 5% la construcción, mejoramiento, mantenimiento y optimización de la red vial en el municipio","Porcentaje de construcción, mejoramiento, mantenimiento y optimización de la red vial en el municipio incrementado","125,838 mts lineales

Fuente: Informe emplame 2023",2402125,2024257990007,Mejoramiento de la infraestructura red vial regional inteligente y sostenible del Municipio de Tenjo Cundinamarca,59,,Modernizar en mínimo 2 unidades la maquinaria amarilla para el desarrollo de mantenimientos viales e infraestructura ,0,Número,I,Número de unidades de maquinaria modernizados,Sec. Infraestructura y Obra Pública,,2,100%,0%,,,15.0%,2,0,0,0,,,,,0.1,0.1,1.9,1.9,2.00,2.00,1.00,100%,100%,P,META 59.docx,0,0,0,0,0,,0,,0.00,0.00,0%,0.00%,0%,NP,Meta 59.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$600,000,000.00",$0.00,"$1,151,203,977.00","$1,151,203,977.00","$1,751,203,977.00","$1,151,203,977.00",66%,"$600,000,000.00",$0.00,$0.00,$0.00,,$0.00,150000000000%,0,0,"1,500,000,000",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,24,2402,8,"Movilidad Inteligente y Sostenible de Tenjo (MIST)

(Infraestrcutura red vial regional)",,0600,8.1,Promoción de la Movilidad Sostenible y Educación Vial,,8.1.1,Implementar al 100% el subprograma de Movilidad Sostenible y Educación vial,Porcentaje de subprograma implementado,0,2402033,2024257990008,Desarrollar Infraestructura red vial regional,60,,Construir 1.000 metros lineales de ciclo rutas en el casco urbano y rural del municipio de Tenjo.,0,Mts,I,Metros lineales construidos de ciclo rutas,Sec. Infraestructura y Obra Pública,,"1,030",21%,0%,,,3.2%,220,250,440,120,,,,,0,0,220,220,220,220,1.00,100%,100%,P,META 60.docx,0,0,0,0,100,60,150,190,250.00,250.00,1.00,100%,100%,P,Meta 60.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$88,515,586.00",$0.00,"$99,296,561.00","$99,296,561.00","$187,812,147.00","$99,296,561.00",53%,"$88,515,586.00","$522,527,805.00","$522,527,805.00",$0.00,100.00%,"$1,019,794,652.00",22089874800%,"421,943,685","523,040,869","2,185,677,954",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,24,2402,8,"Movilidad Inteligente y Sostenible de Tenjo (MIST)

(Infraestrcutura red vial regional)",,0600,8.1,Promoción de la Movilidad Sostenible y Educación Vial,,8.1.1,Implementar al 100% el subprograma de Movilidad Sostenible y Educación vial,Porcentaje de subprograma implementado,0,2402033,2024257990008,Desarrollar Infraestructura red vial regional,61,,Definir un carril exclusivo para el uso de la bicicleta y de fomento de medios alternativos de movilización,0,Número,I,Carril exclusivo definido,Sec. Infraestructura y Obra Pública,,1,0%,0%,,,0.0%,0,0,0.0,1.0,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,NP,,0,,0,,0,,0,,0.00,0.00,0%,0%,0%,NP,Meta 61.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,$0.00,$0.00,,$0.00,30000000000%,"309,000,000","318,270,000","927,270,000",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,24,2402,8,"Movilidad Inteligente y Sostenible de Tenjo (MIST)

(Infraestrcutura red vial regional)",,0600,8.1,Promoción de la Movilidad Sostenible y Educación Vial,,8.1.1,Implementar al 100% el subprograma de Movilidad Sostenible y Educación vial,Porcentaje de subprograma implementado,0,2402129,2024257990008,Desarrollar Infraestructura red vial regional,62,,Establecer un circuito de sistema de bicicletas compartidas,0,Número,I,Número de circuitos establecidos,Sec. Infraestructura y Obra Pública,,1,0%,0%,,,0.0%,0,0,0,1,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,NP,,0,,0,,0,,0,,0.00,0.00,0%,0%,0%,NP,Meta 62.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,$0.00,$0.00,,$0.00,20000000000%,"200,000,000","200,000,000","600,000,000",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,24,2402,8,"Movilidad Inteligente y Sostenible de Tenjo (MIST)

(Infraestrcutura red vial regional)",,0600,8.1,Promoción de la Movilidad Sostenible y Educación Vial,,8.1.1,Implementar al 100% el subprograma de Movilidad Sostenible y Educación vial,Porcentaje de subprograma implementado,0,2402104,2024257990008,Desarrollar Infraestructura red vial regional,63,,"Desarrollar dos programas de educación vial dirigidos a la comunidad, con especial enfoque en los usuarios de ciclo rutas y peatones.",0,Número,I,Número de programas desarrollados,Sec. Gobierno y convivencia ciudadana o quien haga sus veces,,2,0%,0%,,,0.0%,0,0,1,1,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,NP,Meta 63.docx,0,,0,,0,,0,,0.00,0.00,0%,0%,0%,NP,Meta 63.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,$0.00,$0.00,,$0.00,3000000000%,"30,900,000","31,827,000","92,727,000",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,24,2402,8,"Movilidad Inteligente y Sostenible de Tenjo (MIST)

(Infraestrcutura red vial regional)",,0600,8.1,Promoción de la Movilidad Sostenible y Educación Vial,,8.1.1,Implementar al 100% el subprograma de Movilidad Sostenible y Educación vial,Porcentaje de subprograma implementado,0,2402033,2024257990008,Desarrollar Infraestructura red vial regional,64,,"Generar dos iniciativas de movilidad sostenible, incluyendo el incentivo al uso de transporte público y bicicletas",0,Número,I,Número de iniciativas generadas,Sec. Gobierno y convivencia ciudadana o quien haga sus veces,,2,0%,0%,,,0.0%,0,0,1,1,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,NP,Meta 64.docx,0,,0,,0,,0,,0.00,0.00,0%,0%,0%,NP,Meta 64.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,$0.00,$0.00,,$0.00,3000000000%,"30,900,000","31,827,000","92,727,000",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,24,2402,8,"Movilidad Inteligente y Sostenible de Tenjo (MIST)

(Infraestrcutura red vial regional)",,0600,8.1,Promoción de la Movilidad Sostenible y Educación Vial,,8.1.1,Implementar al 100% el subprograma de Movilidad Sostenible y Educación vial,Porcentaje de subprograma implementado,0,2402005,2024257990008,Desarrollar Infraestructura red vial regional,65,,Instalar 3 paraderos inteligentes en la zona rural y urbana del municipio,0,Número,I,Número de paraderos inteligentes instalados,Sec. Infraestructura y Obra Pública,,3,100%,0%,,,15.0%,3,0,0,0,,,,,0.2,0.2,2.8,2.8,3.00,3.00,1.00,100%,100%,P,META 65.docx,0,,0,,0,,0,,0.00,0.00,0%,0%,0%,NP,Meta 65.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,"$800,000,000.00","$800,000,000.00","$800,000,000.00","$800,000,000.00",100%,$0.00,$0.00,$0.00,$0.00,,$0.00,0%,"250,000,000","260,000,000","510,000,000",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,24,2402,8,"Movilidad Inteligente y Sostenible de Tenjo (MIST)

(Infraestrcutura red vial regional)",,0600,8.1,Es tiempo de la Movilidad y Seguridad Vial,,8.1.2,Incrementar a 100%  los procesos de señalización viale instalación de barreras de protección,Porcentaje de procesos incrementados,0,2402002,2024257990008,Desarrollar Infraestructura red vial regional,66,,Realizar 2 procesos de compra e instalación de señalización vial en el casco urbano y las 15 veredas del municipio de Tenjo.,1,Número,I,Número de procesos de compra realizados,Sec. Infraestructura y Obra Pública,,2,0%,45%,,,15.8%,0,1,1,0,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,NP,,0,0,0,0,0.3,0.2,0.7,0.7,1.00,0.90,0.90,100%,90%,P,Meta 66.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000,000.00",$0.00,$0.00,$0.00,"$100,000,000.00",$0.00,0%,"$100,000,000.00","$100,000,000.00","$100,000,000.00",$0.00,100.00%,$0.00,20000000000%,"180,000,000","180,000,000","560,000,000",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,24,2402,8,"Movilidad Inteligente y Sostenible de Tenjo (MIST)

(Infraestrcutura red vial regional)",,0600,8.1,Es tiempo de la Movilidad y Seguridad Vial,,8.1.2,Incrementar a 100%  los procesos de señalización viale instalación de barreras de protección,Porcentaje de procesos incrementados,0,2402135,2024257990008,Desarrollar Infraestructura red vial regional,67,,Suministrar e Instalar 1000 metros lineales de barreras metálicas de protección vial,0,Mts,I,Metros lineales de barreras de protección vial instalada,Sec. Infraestructura y Obra Pública,,"1,000",0%,0%,,,0.0%,0,0,700,300,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,NP,,0,,0,,0,,0,,0.00,0.00,0%,0%,0%,NP,Meta 67.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,$0.00,$0.00,,"$250,000,000.00",30000000000%,0,0,"550,000,000",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,24,2402,8,"Movilidad Inteligente y Sostenible de Tenjo (MIST)

(Infraestrcutura red vial regional)",,0600,8.1,Es tiempo de la Movilidad y Seguridad Vial,,8.1.3,"Incrementar a 100% las acciones de planificación, seguridad y monitoreo que mejoren las condciones de tránsito y movilidad",Porcentaje de acciones  incrementadas,25%,2402104,2024257990008,Desarrollar Infraestructura red vial regional,68,,Formular e implementar en un 40% el plan vial municipal,1,Número,M,Plan vial formulado e implementado,Sec. Gobierno y convivencia ciudadana o quien haga sus veces,,40%,0%,219%,,,76.6%,0,0.4,0,0,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,NP,Meta 68.docx,0,0,0.05,0.05,0.3,0.3,0.05,0,0.40,0.35,0.88,100%,88%,P,Meta 68.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$400,000,000.00",$0.00,$0.00,$0.00,"$400,000,000.00",$0.00,0%,"$250,000,000.00","$400,000,000.00","$400,000,000.00",$0.00,100.00%,"$600,000,000.00",0%,0,0,"600,000,000",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,24,2402,8,"Movilidad Inteligente y Sostenible de Tenjo (MIST)

(Infraestrcutura red vial regional)",,0600,8.1,Es tiempo de la Movilidad y Seguridad Vial,,8.1.3,"Incrementar a 100% las acciones de planificación, seguridad y monitoreo que mejoren las condciones de tránsito y movilidad",Porcentaje de acciones  incrementadas,25%,2402104,2024257990008,Desarrollar Infraestructura red vial regional,69,,Actualizar el Plan de Movilidad implementando las acciones que mejoren las condiciones de movilidad y seguridad vial ,1,Número,I,Plan de Movilidad Actualizado,Sec. Gobierno y convivencia ciudadana o quien haga sus veces,,1,5%,59%,,,21.5%,0.05,0.33,0.33,0.29,,,,,0.02,0.02,0.03,0.03,0.05,0.05,1.00,100%,100%,P,Meta 69.docx,0,0,0.05,0.05,0.14,0.14,0.13,0,0.32,0.19,0.59,100%,59%,NP,Meta 69.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,$0.00,$0.00,,"$500,000,000.00",35000000000%,"300,000,000","400,000,000","1,550,000,000",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,24,2402,8,"Movilidad Inteligente y Sostenible de Tenjo (MIST)

(Infraestrcutura red vial regional)",,0600,8.1,Es tiempo de la Movilidad y Seguridad Vial,,8.1.3,"Incrementar a 100% las acciones de planificación, seguridad y monitoreo que mejoren las condciones de tránsito y movilidad",Porcentaje de acciones  incrementadas,25%,2402129,2024257990008,Desarrollar Infraestructura red vial regional,70,,"Implementar un sistema de monitoreo y gestión de tráfico en tiempo real que utilice analítica de datos, reconocimiento de placas de vehículos y reconocimiento facial, en los principales corredores viales de Tenjo.",0,Número,I,Sistema de monitoreo y gestión implementado,Sec. Gobierno y convivencia ciudadana o quien haga sus veces,,1,0%,0%,,,0.0%,0,0.33,0.33,0.33,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,NP,Meta 70.docx,0,,0,,0,,0,,0.00,0.00,0%,0%,0%,NP,Meta 70.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,$0.00,$0.00,,"$500,000,000.00",12000000000%,"150,000,000","150,000,000","920,000,000",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,24,2402,8,"Movilidad Inteligente y Sostenible de Tenjo (MIST)

(Infraestrcutura red vial regional)",,0600,8.1,Es tiempo de la Movilidad y Seguridad Vial,,8.1.3,"Incrementar a 100% las acciones de planificación, seguridad y monitoreo que mejoren las condciones de tránsito y movilidad",Porcentaje de acciones  incrementadas,25%,2402120,2024257990008,Desarrollar Infraestructura red vial regional,71,,Implementar 8 acciones para mejorar las condiciones de tránsito ,SD,Número,I,Número de acciones implementadas ,Sec. Gobierno y convivencia ciudadana o quien haga sus veces,,8,13%,11%,,,5.8%,1,2,3,2,,,,,0.4,0.4,0.6,0.6,1.00,1.00,1.00,100%,100%,P,Meta 71.docx,0,0,0,0,1.7,1.7,0.3,0.1,2.00,1.80,0.90,100%,90%,P,Meta 71.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$360,000,000.00",$0.00,$0.00,$0.00,"$360,000,000.00",$0.00,0%,"$360,000,000.00","$360,000,000.00","$320,000,000.00","$180,000,000.00",88.89%,"$500,000,000.00",10000000000%,"150,000,000","150,000,000","900,000,000",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,40,4002,9,"Es el tiempo de espacio público innovador

(Ordenamiento territorial y desarrollo urbano)",,1400,9.1,Un espacio para todos,,9.1.1.,"Incrementar en 0,31% el índice de espacio público del municipio",Índice de espacio público,"349.200 mts 

Fuente: Sec Urbanismo",4002019,2024257990009,Mejoramiento del espacio público innovador del municipio de Tenjo Cundinamarca,72,,Mejorar y/o construir 600 metros cuadrados  de andenes en el municipio de Tenjo,226 mts,Mts 2,I,Número de metros cuadrados de andenes construidos,Sec. Infraestructura y Obra Pública,,600,0%,0%,,,0.0%,0,380,120,100,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,NP,,0,0,0,0,120,100,260,50,380.00,150.00,0.39,100%,39%,P,Meta 72.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000,000.00","$26,500,000.00","$17,813,333.00","$17,813,333.00","$117,813,333.00","$44,313,333.00",38%,"$100,000,000.00","$714,722,669.00","$712,360,169.00","$22,709,200.00",99.67%,"$2,500,000,000.00",0%,0,0,"2,500,000,000",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,40,4002,9,"Es el tiempo de espacio público innovador

(Ordenamiento territorial y desarrollo urbano)",,1400,9.1,Un espacio para todos,,9.1.1.,"Incrementar en 0,31% el índice de espacio público del municipio",Índice de espacio público,"349.200 mts 

Fuente: Sec Urbanismo",4002019,2024257990009,Mejoramiento del espacio público innovador del municipio de Tenjo Cundinamarca,73,,Construir 500 metros cuadrados de alameda en el casco urbano del municipio de Tenjo,0,Mts 2,I,Número de alameda construidos,Sec. Infraestructura y Obra Pública,SI,500,0%,0%,,,0.0%,0,100,100,300,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,NP,,0,0,0,0,40,20,60,0,100.00,20.00,0.20,100%,20%,P,Meta 73.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,129,476,420.00",$0.00,$0.00,$0.00,"$1,129,476,420.00",$0.00,0%,"$300,000,000.00","$1,129,476,420.00","$1,129,476,420.00",$0.00,100.00%,"$2,500,000,000.00",0%,0,0,"2,500,000,000",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,40,4001,10,"Es el tiempo de la vivienda y Desarrollo Sostenible para Tenjo

(Acceso a soluciones de vivienda)",,1400,10.1,Mejoramiento Habitacional,,10.1.1,"Reducir a 8,97 el déficit cualitativo de vivienda del municipio",Déficit cualitativo de viviedna,"12.5
Fuente: Dane VIHOPE
4258
 viviendas con destino habitacional
Fuente: Sec. Planeación 2024",4001032,2024257990010,Mejoramiento habitacional y acceso a la vivienda y desarrollo sostenible en el Municipio de Tenjo Cundinamarca,74,,"Realizar al 100% los estudios técnicos y jurídicos para los beneficiaros de mejoras de vivienda, solicitados por los interesados.",100%,Porcentaje,M,Porcentaje de estudios técnicos y jurídicos realizados,Sec.  de Urbanismo,,100%,0%,0%,,,0.0%,0%,30%,40%,30%,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,NP,,0,0,0,0,0,0,0,0,0.00,0.00,0%,0.00%,0%,P,Meta 74.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,000,000.00",$0.00,$0.00,$0.00,"$50,000,000.00",$0.00,0%,"$50,000,000.00","$50,000,000.00",$0.00,$0.00,0.00%,"$50,000,000.00",5100000000%,"52,530,000","54,105,900","207,635,900",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,40,4001,10,"Es el tiempo de la vivienda y Desarrollo Sostenible para Tenjo

(Acceso a soluciones de vivienda)",,1400,10.1,Mejoramiento Habitacional,,10.1.1,"Reducir a 8,97 el déficit cualitativo de vivienda del municipio",Déficit cualitativo de vivienda,"12.5
Fuente: Dane VIHOPE
4258
 viviendas con destino habitacional
Fuente: Sec. Planeación 2024",4001032,2024257990010,Mejoramiento habitacional y acceso a la vivienda y desarrollo sostenible en el Municipio de Tenjo Cundinamarca,75,,Beneficiar a 150 familias a través del programa de mejoramientos de viviendas en el casco urbano y rural del municipio de Tenjo,75,Número,I,Número de familias beneficiadas,Sec. Infraestructura y Obra Pública,,150,1%,0%,,,0.1%,1,49,50,50,,,,,0.50,0.50,0.50,0.50,1.00,1.00,1.00,100%,100%,P,META 75.docx,0,0,0,0,0,0,0,0,0.00,0.00,0%,0.00%,0%,NP,Meta 75.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$397,500,000.00","$44,175,000.00","$7,000,000.00","$7,000,000.00","$404,500,000.00","$51,175,000.00",13%,"$397,500,000.00","$44,175,000.00","$44,175,000.00","$44,175,000.00",100.00%,"$150,000,000.00",15300000000%,"160,000,000",0,"463,000,000",,,,,,,,,,,,,,,
